INFO:auth_logger-2024-03-07 22:52:15,369-User 3 has registered.
INFO:auth_logger-2024-03-07 22:52:52,634-Verification requested for user 3
INFO:auth_logger-2024-03-07 22:59:49,743-Verification requested for user 3
INFO:auth_logger-2024-03-07 23:02:20,565-Verification requested for user 3
INFO:auth_logger-2024-03-07 23:02:26,107-Verification requested for user 3
INFO:auth_logger-2024-03-07 23:07:09,192-Verification requested for user 3
INFO:auth_logger-2024-03-08 14:58:49,971-User 3 has forgot their password
INFO:auth_logger-2024-03-08 15:00:46,063-User 3 has forgot their password
INFO:auth_logger-2024-03-08 15:04:15,072-User 3 has forgot their password
INFO:auth_logger-2024-03-08 15:05:10,155-User 3 has forgot their password
INFO:auth_logger-2024-03-08 15:09:48,394-User 3 has forgot their password
